id,solute,solvent,pka
2851,CC(=O)O,CN(C)C=O,13.5
2603,CC(=O)O,O,4.686666667
591,CC(=O)O,CC#N,23.506
3158,CC(=O)O,CS(=O)C,12.45
3005,CC(=O)O,C1CCOC1,22.48
99,CC[NH+](C)C,O,10.095
252,CC[NH+](C)C,CC#N,18.33
2640,CC[NH+](C)C,C1CCOC1,12.6
2827,CC[NH+](C)C,CS(=O)C,8.5
844,CC[NH+](C)CC,O,10.395
161,CC[NH+](C)CC,C1CCOC1,12.7
335,CC[NH+](C)CC,CS(=O)C,9
987,CC[NH+](C)CC,CC#N,18.2
1059,NCC[NH3+],O,9.98
1455,NCC[NH3+],C1CCOC1,13.6
1625,NCC[NH3+],CS(=O)C,11.1
2254,NCC[NH3+],CC#N,18.46
528,NCCC[NH3+],CC#N,19.76
2039,NCCC[NH3+],CS(=O)C,12.3
2542,NCCC[NH3+],O,10.47
2952,NCCC[NH3+],C1CCOC1,14.8
212,NCCCC[NH3+],C1CCOC1,15.2
379,NCCCC[NH3+],CS(=O)C,12.6
897,NCCCC[NH3+],O,10.65
1038,NCCCC[NH3+],CC#N,20.12
312,NCCCCC[NH3+],O,10.85
706,NCCCCC[NH3+],C1CCOC1,14.2
877,NCCCCC[NH3+],CS(=O)C,11.7
1543,NCCCCC[NH3+],CC#N,19.14
944,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,CN(C)C=O,1.1
1925,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,CC#N,11
1268,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,CS(=O)C,-1.33
2341,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,C(CCl)Cl,44.86666667
1788,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,O,0.33
1097,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,C1CCOC1,11.84
1094,O=[N+]([O-])c1ccc(S(=O)(=O)O)c([N+](=O)[O-])c1,CC#N,3.98
1532,O=[N+]([O-])c1ccc(S(=O)(=O)O)c([N+](=O)[O-])c1,C(CCl)Cl,36
140,O=[N+]([O-])c1ccccc1O,CN(C)C=O,12.2
457,O=[N+]([O-])c1ccccc1O,CS(=O)C,11
975,O=[N+]([O-])c1ccccc1O,O,7.215
2180,O=[N+]([O-])c1ccccc1O,CC#N,22.85
3164,O=C(O)c1ccccc1,CN(C)C=O,12.3
2947,O=C(O)c1ccccc1,O,4.143333333
931,O=C(O)c1ccccc1,CC#N,21.506
275,O=C(O)c1ccccc1,CS(=O)C,11.05
100,O=C(O)c1ccccc1,C1CCOC1,25.11
6,c1ccc([NH2+]c2ccccc2)cc1,O,0.79
151,c1ccc([NH2+]c2ccccc2)cc1,CC#N,5.98
2549,c1ccc([NH2+]c2ccccc2)cc1,C1CCOC1,0.6
2721,c1ccc([NH2+]c2ccccc2)cc1,CS(=O)C,-1.1
751,c1ccc2[nH+]cccc2c1,O,4.93
1955,c1ccc2[nH+]cccc2c1,CC#N,11.965
1318,c1ccc2[nH+]ccnc2c1,O,0.56
1491,c1ccc2[nH+]ccnc2c1,CC#N,7.4
2819,CC(=C(C#N)C#N)C(C#N)C#N,C(CCl)Cl,36.4
1338,CC(=C(C#N)C#N)C(C#N)C#N,CC#N,7.36