mol,CAS,acetonitrile
(C6F5)CH(CN)COOEt,2340-87-6,17.75
(4-CF3C6F4)CH(CN)COOEt,32251-53-9,16.08
4-MeC6H4CH(CN)2,33534-88-2,17.59
(C6H5)(C6F5)CHCN,42238-33-5,26.14
(C6F5)2CHCN,42238-34-6,21.1
(4-CF3C6F4)(C6F5)CHCN,42238-35-7,18.14
(4-ClC6F4)(C6F5)CHCN,42238-36-8,20.36
(4-HC6F4)(C6F5)CHCN,42254-09-1,21.11
(4-MeC6F4)(C6F5)CHCN,52345-34-3,21.94
(4-ClC6F4)CH(CN)COOEt,55810-56-5,17.39
(4-NC5F4)CH(CN)COOEt,55810-61-2,14.9
4-HC6F4CH(CN)2,55810-63-4,12.98
(4-HC6F4)CH(CN)COOEt,55852-22-7,18.08
4-CF3C6F4CH(CN)2,55852-24-9,10.19
(4-MeC6F4)2CHCN,58432-44-3,22.8
(4-CF3C6F4)2CHCN,58432-55-6,16.13
(4-Me,58432-62-5,26.96
(2-C10F7)CH(CN)COOEt,62325-34-2,17.5
2-C10F7CH(CN)2,62325-35-3,12.23
(4-NC5F4)(2-C10F7)CHCN,62325-37-5,16.02
(2-C10F7)2CHCN,62325-38-6,19.32
(4-NC5F4)(C6F5)CHCN,62325-51-3,16.4
(2-C10F7)(C6F5)CHCN,64934-68-5,20.08
"(2,4,6-Cl3C6F2)(C6F5)CHCN",64934-69-6,20.13
4-MeC6F4CH(CN)2,64934-71-0,13.87
(4-NC5F4)2CHCN,64934-72-1,13.46
C6F5CH(CN)2,719-38-0,13.01
3-CF3C6H4CH(CN)2,99726-60-0,14.72
4-NO2C6H4CH(CN)2,7077-65-8,11.61
C6H5CHTf2,40906-82-9,7.85
d(C6F5)CH(COOEt)2,1582-05-4,22.85
"2,3,5-Tricyanocyclopentadiene",215395-09-8,4.16
9-C6F5-Fluorene,73482-93-6,28.11
Fluoradene,205-94-7,23.9
9-COOMe-Fluorene,3002-30-0,23.53
9-CN-Fluorene,1529-40-4,21.36
9-C6F5-Octafluorofluorene,63264-80-2,18.88
Octafluorofluorene,27053-34-5,24.49
"2,4,6-Br3-Phenol",118-79-6,20.35
4-NC5F4-OH,2693-66-5,15.4
"4-CF3-2,3,5,6-F4-Phenol",2787-79-3,16.62
"4-C6F5-2,3,5,6-F4-Phenol",2894-87-3,18.11
1-C10F7OH,5386-30-1,19.72
"2,3,4,5,6-Br5-Phenol",608-71-9,17.83
2-C10F7OH,727-49-1,18.5
"2,3,5,6-F4-Phenol",769-39-1,20.12
"2,3,4,5,6-F5-Phenol",771-61-9,20.11
"2,3,4,5,6-Cl5-Phenol",87-86-5,18.02
"2,4,6-(SO2F)3-Phenol",882492-01-5,5.53
2-NO2-Phenol,88-75-5,22.85
"2,4-(NO2)2-Phenol",51-28-5,16.66
Picric acid,88-89-1,11
"2,4,6-Tf3-Phenol",71571-37-4,4.8
(CF3)3COH,2378-02-01,20.55
Acetic acid,64-19-7,23.51
Benzoic acid,65-85-0,21.51
TosOH,104-15-4,8.45
4-NO2-C6H4SO3H,138-42-1,6.6
1-C10H7SO3H,85-47-2,7.89
3-NO2 C6H4SO3H,98-47-5,6.65
4-Cl C6H4SO3H,98-66-8,7.16
4-Me C6H4C(1⁄4O)NHTf,343337-70-2,11.46
C6H5C(1⁄4O)NHTf,39062-91-4,11.06
4-NO2 C6H4C(1⁄4O)NHTf,39062-98-1,9.49
4-Cl C6H4C(1⁄4O)NHTf,39062-99-2,10.36
4-F C6H4C(1⁄4O)NHTf,39063-00-8,10.65
4-MeO C6H4C(1⁄4O)NHTf,39063-05-3,11.6
Saccharin,81-07-2,14.57
4-NO2 C6H4SO2NHTos,100724-78-5,10.04
C6H5SO2NHTf,174788-87-5,5.89
4-Cl C6H4SO2NHTf,174788-89-7,5.34
4-NO2 C6H4SO2NHTf,174788-91-1,4.39
4-Cl C6H4SO(1⁄4NTf)NHTos,174788-93-3,5.14
4-Cl C6H4SO(1⁄4NTf)NHSO2C6H4-4-Cl,174788-95-5,4.34
4-Cl C6H4SO(1⁄4NTf)NHSO2C6H4-4-NO2,174788-97-7,3.62
4-Cl-3-NO2 C6H3SO2NHTos,215395-06-5,9.71
TosNHTf,215395-07-6,6.17
(C6H5SO2)2NH,2618-96-4,11.34
(4-Cl C6H4SO2)2NH,2725-55-5,10.2
Tos2NH,3695-00-9,11.97
(4-NO2 C6H4SO2)2NH,4009-06-07,8.19
4-MeO C6H4C(1⁄4NTf)NHTf,500721-87-9,6.41
4-Me C6H4C(1⁄4NTf)NHTf,500721-89-1,6.19
C6H5C(1⁄4NTf)NHTf,500721-91-5,6.04
4-F C6H4C(1⁄4NTf)NHTf,500721-93-7,5.66
4-Cl C6H4C(1⁄4NTf)NHTf,500721-95-9,5.56
4-NO2 C6H4C(1⁄4NTf)NHTf,500721-97-1,5.13
4-Cl C6H4SO2NHTos,69173-28-0,11.1
4-NO2 C6H4SO2NHSO2C6H4-4-Cl,95468-16-9,9.17
(4-NC5F4)(C6H5)NH,39077-43-5,26.34
(4-Me2N C6F4)(C6F5)NH,80588-34-7,25.12
(4-Me-C6F4)(C6F5)NH,80588-36-9,24.94
"2,4,6-(SO2F)3-Aniline",133213-11-3,19.66
Compound,pK pKa Exp,Ref.
Trinitromethane,7.3,7
1-(4-Nitrophenyl)-1-nitropropane,23.9,44
1-(4-Nitrophenyl)-2-methyl-1-nitropropane,25.9,44
"1,2-Dicyanocyclopentadiene",10.17,45
"1,2,3-Tricyanocyclopentadiene",1.44,45
"1,2,4-Tricyano-3-methylcyclopentadiene",3.4,45
9-Cyanofluorene,20.8,44
Pentakis(trifluoromethyl)-phenylmalonitrile,8.86,29
"2,3,4,6-Tetrakis(trifluoromethyl)-phenylmalonitrile",10.45,29
Pentakis(trifluoromethyl)-toluene,28.7,29
Pentacyanotoluene,20.14,Present study
"2,4,6-Trinitrotoluene",23.2,44
4-Nitrophenylacetonitrile,25.4,44
4-Nitrophenylphenylacetonitrile,22.7,44
4-Bromophenyl-4-nitrophenylacetonitrile,21.3,44
4-Nitrophenyl-4-methoxyphenylacetonitrile,23.1,44
Bis(4-nitrophenyl)acetonitrile,19,44
Bis(4-nitrophenyl)ethylacetate,25.1,44
4-Nitrophenylnitromethane,20.7,44
Phthalicacid,14.3,7
"2,2-Diphenicacid",15.7,7
3-Methylphthalicacid,17,7
Propanedioicacid,15.3,7
Succinicacid,17.6,7
Tetrahydroxysuccinicacid,13.7,7
Tartronicacid,13.8,7
"2,6-Dihydroxybenzoicacid",12.6,7
Perchloricacid,1.57,7
Fluorosulfuricacid,3.38,7
"2,4,6-Trinitrothiophenol",11,7
o-Mercaptophenol,19.34,7
"1,1,3,3-Tetranitrobutane",8,7
Pentakis(trifluoromethyl)-aniline,24.59,29
"1,3,7,9-Tetranitrophenoxazine",18.8,7
"1,3,7-Trinitrophenoxazine",20.3,7
"1,3,9-Trinitrophenoxazine",21.9,7
"1,3-Dinitrophenoxazine",22.4,7
"1,7-Dimethyl-3-nitrophenoxazine",25.9,7
1-Methyl-3-nitrophenoxazine,25.8,7
1-Nitrophenoxazine,28.4,7
"3,7-Dinitrophenoxazine",22.8,7
3-Nitrophenoxazine,25.7,7
"3,4-Dichlorobenzenesulfonamide",23.29,7
4-Methylbenzenesulfonamide,24.82,7
Benzenesulfonamide,24.61,7
m-Chlorobenzenesulfonamide,23.8,7
m-Cyanobenzenesulfonamide,23.23,7
m-Methoxybenzenesulfonamide,24.48,7
m-Nitrobenzenesulfonamide,22.95,7
m-Toluenesulfonamide,24.67,7
m-Trifluoromethylbenzenesulfonamide,23.53,7
o-Xylene-4-sulfonamide,25.01,7
p-Brombenzenesulfonamide,24.04,7
p-Fluorobenzenesulfonamide,24.19,7
p-Methoxybenzenesulfonamide,25.09,7
p-Nitrobenzenesulfonamide,22.91,7
4-Bromobenzoicacid,20.3,7
4-Hydroxybenzoicacid,20.8,7
Chloroaceticacid,18.8,7
Cyanoaceticacid,18,7
Dichloroaceticacid,13.2,7
Fumaricacid,19.2,7
Oxalicacid,14.5,7
Salicylicacid,16.7,7
Trichloroaceticacid,10.75,7
Trifluoroaceticacid,12.65,7
"1,3-Benzenedicarboxylicacid",19.3,7
"1,4-Benzenedicarboxylicacid",19.7,7
"1,8-Naphthalicacid",21.8,7
"2,3-Dibromopropionicacid",17.1,7
"2,4,6-Trimethylbenzoicacid",20.5,7
"2,4-Dichlorobenzoicacid",18.4,7
"2,4-Dinitrobenzoicacid",16.1,7
"2,5-Dichlorobenzenesulfonicacid",6.2,7
"2,6-Dichlorobenzoicacid",17.6,7
"2,6-Dinitrobenzoicacid",15.8,7
2-Chloro-benzoicacid,19,7
"3,4-Dichlorobenzoicacid",19,7
"3,4-Dimethylbenzoicacid",19,7
"3,5-Dichlorobenzoicacid",18.7,7
"3,5-Dinitrobenzoicacid",17,7
3-Bromobenzoicacid,19.5,7
3-Nitrobenzoicacid,19.2,7
4-Chloro-3-nitrobenzoicacid,18.5,7
4-Dimethylaminobenzoicacid,23,7
4-Nitrobenzoicacid,18.7,7
Butyricacid,22.7,7
Hexanedioicacid,20.3,7
Hydracrylicacid,21,7
Hydroxy-aceticacid,19.3,7
Nonanedioicacid,20.9,7
o-Nitrobenzoicacid,18.2,7
Pentanedioicacid,19.2,7
Tartaricacid,15.1,7
Nitricacid,8.8,7
2-Bromophenol,23.92,7
"3,4,5-Trichlorophenol",22.5,7
"3,4-Dichlorophenol",24,7
"3,5-Dichlorophenol",23.3,7
3-Chlorophenol,25,7
4-Bromophenol,25.53,7
4-Chlorophenol,25.44,7
4-Nitrophenol,20.7,7
p-Cresole,27.45,7
Phenol,29.14,29
2-Methylphenol,27.5,7
"3,4-Dinitrophenol",17.9,7
3-Chloro-4-nitrophenol,19.9,7
3-Nitrophenol,23.8,7
3-Trifluoromethyl-4-nitrophenol,19.3,7
"4-Chloro-2,6-dinitrophenol",15.3,7
4-Cyanophenol,22.7,7
m-Trifluoromethylphenol,24.9,7
"4-(1,1-Dimethylethyl)-phenol",27.48,7
"3,5-Dinitrophenol",20.5,46
"2,3,5,6-Tetrafluoro-4-methylphenol",20.3,47
"2,4,6-Trichlorophenol",22.5,46
2-Trifluoromethylphenol,24.88,29
3-Trifluoromethylphenol,26.5,29
4-Trifluoromethylphenol,25.54,29
"3,5-Bis(trifluoromethyl)-phenol",23.78,29
"2,6-Bis(1,1-dimethylethyl)-4-nitrophenol",19,46
Pentakis(trifluoromethyl)-phenol,10.46,29
4-Methylbenzenesulfonic acid,8.01,7
Methanesulfonic acid,9.97,7
Trifluoromethanesulfonic acid,2.6,7
H2SO4,7.2,7
HBr,5.5,7
HCl,8.9,7