,Acid,MeCN,DMSO
1,9-COOMe-fluorene,23.53,10.35
2,(4-Me-C6F4)2CHCN,22.8,
3,(4-Me-C6F4)(C6F5)CHCN,21.94,
4,9-CN-fluorene,21.36,8.3
5,(4-H-C6F4)(C6F5)CHCN,21.11,
6,(4-Cl-C6F4)(C6F5)CHCN,20.36,7.5
7,(2-C10F7)(C6F5)CHCN,20.08,
8,9-C6F5-octafluorofluorene,18.88,
9,(2-C10F7)2CHCN,19.32,
10,(4-CF3-C6F4)(C6F5)CHCN,18.14,4.9
11,(C 6F5)CH(CN)COOEt,17.75,4.7
12,(4-Cl-C6F4)CH(CN)COOEt,17.39,4.5
13,(2-C10F7)CH(CN)COOEt,17.5,
14,(4-CF3-C6F4)CH(CN)COOEt,16.08,3
15,(4-NC5F4)(C6F5)CHCN,16.4,3.3
16,(4-NC5F4)CH(CN)COOEt,14.9,3.2
17,3-CF3-C6H4CH(CN)2,14.72,
19,(4-NC5F4)2CHCN,13.47,2.4
20,4-H-C6F4CH(CN)2,12.98,
21,2-C10F7CH(CN)2,12.23,
22,Bromothymol blue,11.7,
23,Bromocresol green,11,
24,Picric acid,11,-1.09
25,HCl,10.3,
26,"2,3,4,6-(CF3)4-C6HCH(CN)2",10.45,
27,4-CF3-C6F4CH(CN)2,10.19,1.7
29,4-NO2-C H 6 4SO2NHTos m,10.04,
31,4-NO2-C6H4SO2NHSO2C6H4-4-Cl,9.17,
33,C6(CF3)5CH(CN)2,8.86,
34,(4-NO2-C6H4-SO2)2NH,8.19,
35,3-NO2-4-Cl-C6H3SO2NHSO2C6H4-4-,7.84,
36,N(3O-N2 O 2-4-Cl-C H SO 6 3 2)2NH,7.47,
37,HBr,5.5,
38,4-NO2-C6H4SO2CH(CN)2,6.06,
39,"2,4,6-(SO2F)3-Phenol",5.25,
40,"2,4,6-Tf3-Phenol n",4.48,
42,4-Cl-C6H4SO(=NTf)NHTos,4.81,
44,"2,3,5-tricyanocyclopentadiene",3.68,
46,4-Cl-C6H4SO(=NTf)NHSO2C6H4-5-Cl,4.03,
47,HI,2.8,
48,4-NO2-C6H4SO2NHTf,4.08,
52,C(CN)2=C(CN)OH,4.39,
53,4-Cl-C6H4SO(=NTf)NHSO2C6H4-NO2,3.33,
54,"2,4-(NO2)2-C6H3SO2OH",3.99,