,smiles,cas,iupac,,new smiles,new cas,new iupac
0,C[NH+],74-89-5,methanamine,T,C[NH3+],17000-00-9,methylazanium
1,CC[NH+],75-04-7,ethanamine,T,CC[NH3+],16999-99-8,ethylazanium
2,CCC[NH+],107-10-8,propan-1-amine,T,CCC[NH3+],,propylazanium
3,CC(C)[NH+],75-31-0,propan-2-amine,T,CC(C)[NH3+],,propan-2-ylazanium
4,CCCC[NH+],109-73-9,butan-1-amine,T,CCCC[NH3+],-,butylazanium
5,CC(C)C[NH+],78-81-9,2-methylpropan-1-amine,T,CC(C)C[NH3+],58471-06-0,2-methylpropylazanium
6,C1=CC=C(C=C1)C[NH+],100-46-9,phenylmethanamine,T,C1=CC=C(C=C1)C[NH3+],,benzylazanium
7,C1=CC=C(C=C1)[NH+],62-53-3,aniline,T,C1=CC=C(C=C1)[NH3+],65756-50-5,phenylazanium
8,[NH+],7664-41-7,azane,T,[NH4+],14798-03-9,azanium
9,C[NH+]C,124-40-3,N-methylmethanamine,T,C[NH2+]C,49784-85-2,dimethylazanium
10,CC[NH+]CC,109-89-7,N-ethylethanamine,T,CC[NH2+]CC,,diethylazanium
11,CCC[NH+]CCC,142-84-7,N-propylpropan-1-amine,T,CCC[NH2+]CCC,-,dipropylazanium
12,CCCC[NH+]CCCC,111-92-2,N-butylbutan-1-amine,T,CCCC[NH2+]CCCC,-,dibutylazanium
13,C1=CC=C(C=C1)C[NH+]CC2=CC=CC=C2,103-49-1,N-benzyl-1-phenylmethanamine,T,C1=CC=C(C=C1)C[NH2+]CC2=CC=CC=C2,-,dibenzylazanium
14,C1=CC=C(C=C1)[NH+]C2=CC=CC=C2,122-39-4,N-phenylaniline,T,C1=CC=C(C=C1)[NH2+]C2=CC=CC=C2,61236-17-7,diphenylazanium
15,C[NH+]C1=CC=CC=C1,100-61-8,N-methylaniline,T,C[NH2+]C1=CC=CC=C1,-,methyl(phenyl)azanium
16,C[NH+](C)C,75-50-3,"N,N-dimethylmethanamine",T,C[NH+](C)C,,trimethylazanium
17,CC[NH+](CC)CC,121-44-8,"N,N-diethylethanamine",T,CC[NH+](CC)CC,17440-81-2,triethylazanium
18,CCC[NH+](CCC)CCC,102-69-2,"N,N-dipropylpropan-1-amine",T,CCC[NH+](CCC)CCC,-,tripropylazanium
19,CCCC[NH+](CCCC)CCCC,102-82-9,"N,N-dibutylbutan-1-amine",T,CCCC[NH+](CCCC)CCCC,-,tributylazanium
20,C1=CC=C(C=C1)C[NH+](CC2=CC=CC=C2)CC3=CC=CC=C3,620-40-6,"N,N-dibenzyl-1-phenylmethanamine",T,C1=CC=C(C=C1)C[NH+](CC2=CC=CC=C2)CC3=CC=CC=C3,-,tribenzylazanium
21,C1=CC=C(C=C1)[NH+](C2=CC=CC=C2)C3=CC=CC=C3,603-34-9,"N,N-diphenylaniline",T,C1=CC=C(C=C1)[NH+](C2=CC=CC=C2)C3=CC=CC=C3,-,triphenylazanium
22,C[NH+](C)C1=CC=CC=C1,121-69-7,"N,N-dimethylaniline",T,C[NH+](C)C1=CC=CC=C1,-,dimethyl(phenyl)azanium
23,CC[NH+](C)C,598-56-1,"N,N-dimethylethanamine",T,CC[NH+](C)C,-,ethyl(dimethyl)azanium
24,CC[NH+](C)CC,616-39-7,N-ethyl-N-methylethanamine,T,CC[NH+](C)CC,-,diethyl(methyl)azanium
25,CCC[NH+](CC)CC,4458-31-5,"N,N-diethylpropan-1-amine",T,CCC[NH+](CC)CC,-,diethyl(propyl)azanium
26,NCC[NH+],107-15-3,"ethane-1,2-diamine",T,C(CN)[NH3+],-,2-aminoethylazanium
27,NCCC[NH+],109-76-2,"propane-1,3-diamine",T,C(C[NH3+])CN,,3-aminopropylazanium
28,NCCCC[NH+],110-60-1,"butane-1,4-diamine",T,C(CCN)C[NH3+],,4-aminobutylazanium
29,NCCCCC[NH+],462-94-2,"pentane-1,5-diamine",T,C(CC[NH3+])CCN,-,5-aminopentylazanium
30,CN(C)CC[NH+](C)C,110-18-9,"N,N,N',N'-tetramethylethane-1,2-diamine",T,C[NH+](C)CCN(C)C,-,2-(dimethylamino)ethyl-dimethylazanium
31,CN(C)CCC[NH+](C)C,110-95-2,"N,N,N',N'-tetramethylpropane-1,3-diamine",T,C[NH+](C)CCCN(C)C,-,3-(dimethylamino)propyl-dimethylazanium
32,CN(C)CCCC[NH+](C)C,111-51-3,"N,N,N',N'-tetramethylbutane-1,4-diamine",T,C[NH+](C)CCCCN(C)C,-,4-(dimethylamino)butyl-dimethylazanium
33,C1=CC2=C(C(=C1)N)C(=CC=C2)[NH+],479-27-6,"naphthalene-1,8-diamine",T,C1=CC2=C(C(=C1)[NH3+])C(=CC=C2)N,-,(8-aminonaphthalen-1-yl)azanium
34,CN(C)C1=CC=CC2=C1C(=CC=C2)[NH+](C)C,20734-58-1,"1-N,1-N,8-N,8-N-tetramethylnaphthalene-1,8-diamine",T,C[NH+](C)C1=CC=CC2=C1C(=CC=C2)N(C)C,-,[8-(dimethylamino)naphthalen-1-yl]-dimethylazanium
35,N[NH+],302-01-2,hydrazine,T,[NH3+]N,18500-32-8,aminoazanium
36,C1CC[NH+]CC1,110-89-4,piperidine,T,C1CC[NH2+]CC1,17523-59-0,piperidin-1-ium
37,C[NH+]1CCCCC1,626-67-5,1-methylpiperidine,T,C[NH+]1CCCCC1,-,1-methylpiperidin-1-ium
38,C1C[NH+]CCN1,110-85-0,piperazine,T,C1CNCC[NH2+]1,8057-14-5,piperazin-1-ium
39,CN1CC[NH+](C)CC1,106-58-1,"1,4-dimethylpiperazine",T,C[NH+]1CCN(CC1)C,-,"1,4-dimethylpiperazin-1-ium"
40,C1CC[NH+]C1,123-75-1,pyrrolidine,T,C1CC[NH2+]C1,84316-19-8,pyrrolidin-1-ium
41,C1C[NH+]2CCC1CC2,100-76-5,1-azabicyclo[2.2.2]octane,T,C1C[NH+]2CCC1CC2,-,1-azoniabicyclo[2.2.2]octane
42,C1C[NH+]2CCN1CC2,280-57-9,"1,4-diazabicyclo[2.2.2]octane",T,C1CN2CC[NH+]1CC2,49623-77-0,4-aza-1-azoniabicyclo[2.2.2]octane
43,C1=CC=[NH+]C=C1,110-86-1,pyridine,T,C1=CC=[NH+]C=C1,16969-45-2,pyridin-1-ium
44,C1=CC=NC(=C1)C2=CC=CC=[NH+]2,366-18-7,2-pyridin-2-ylpyridine,T,C1=CC=[NH+]C(=C1)C2=CC=CC=N2,,2-pyridin-1-ium-2-ylpyridine
45,C1=CC=C2C(=C1)C=CC=[NH+]2,91-22-5,quinoline,T,C1=CC=C2C(=C1)C=CC=[NH+]2,-,quinolin-1-ium
46,C1=CC=C2C(=C1)C=CC(=N2)C3=[NH+]C4=CC=CC=C4C=C3,119-91-5,2-quinolin-2-ylquinoline,T,C1=CC=C2C(=C1)C=CC(=N2)C3=[NH+]C4=CC=CC=C4C=C3,-,-
47,C1=CC=C2C=[NH+]C=CC2=C1,119-65-3,isoquinoline,T,C1=CC=C2C=[NH+]C=CC2=C1,-,isoquinolin-2-ium
48,C1=CC=C2C(=C1)C=C3C=CC=CC3=[NH+]2,260-94-6,acridine,T,C1=CC=C2C(=C1)C=C3C=CC=CC3=[NH+]2,-,acridin-10-ium
49,C1=CC2=C(C3=C(C=CC=N3)C=C2)[NH+]=C1,66-71-7,"1,10-phenanthroline",T,C1=CC2=C(C3=C(C=CC=N3)C=C2)[NH+]=C1,-,"1,10-phenanthrolin-10-ium"
50,C1=CN=C[NH+]1,288-32-4,1H-imidazole,T,C1=CN=C[NH2+]1,-,1H-imidazol-1-ium
51,C1=CC=C2C(=C1)NC=[NH+]2,51-17-2,1H-benzimidazole,T,C1=CC=C2C(=C1)NC=[NH+]2,-,1H-benzimidazol-3-ium
52,C1=NN[NH+]=C1,288-35-7,2H-triazole,T,C1=[NH+]NN=C1,-,2H-triazol-1-ium
53,C1=CC2=N[NH2+]N=C2C=C1,95-14-7,2H-benzotriazole,T,C1=CC2=[NH+]NN=C2C=C1,-,2H-benzotriazol-1-ium
54,C1=CN[NH+]=C1,288-13-1,1H-pyrazole,T,C1=CN[NH+]=C1,,1H-pyrazol-2-ium
55,C1=CC=C2C(=C1)C=N[NH+]2,271-44-3,1H-indazole,T,C1=CC=C2C(=C1)C=[NH+]N2,-,1H-indazol-2-ium
56,C1=CC=[NH+]N=C1,289-80-5,pyridazine,T,C1=CC=N[NH+]=C1,-,pyridazin-1-ium
57,C1=C[NH+]=CN=C1,289-95-2,pyrimidine,T,C1=C[NH+]=CN=C1,-,pyrimidin-1-ium
58,C1=C[NH+]=CC=N1,290-37-9,pyrazine,T,C1=CN=CC=[NH+]1,-,pyrazin-1-ium
59,C1CC2=NCCC[NH+]2C1,3001-72-7,"2,3,4,6,7,8-hexahydropyrrolo[1,2-a]pyrimidine",T,C1CC2=NCCC[NH+]2C1,-,"3,4,5,6,7,8-hexahydro-2H-pyrrolo[1,2-a]pyrimidin-5-ium"
60,C1CCC2=NCCC[NH+]2CC1,6674-22-2,"2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine",T,C1CCC2=NCCC[NH+]2CC1,-,"3,4,5,6,7,8,9,10-octahydro-2H-pyrimido[1,2-a]azepin-5-ium"
61,CN(C)C(=N)[NH+](C)C,80-70-6,"1,1,3,3-tetramethylguanidine",T,C[NH+](C)C(=N)N(C)C,-,"(N,N-dimethylcarbamimidoyl)-dimethylazanium"
62,C1CNC2=NCCC[NH+]2C1,5807-14-7,"3,4,6,7,8,9-hexahydro-2H-pyrimido[1,2-a]pyrimidine",T,C1CNC2=NCCC[NH+]2C1,-,"2,3,4,5,6,7,8,9-octahydropyrimido[1,2-a]pyrimidin-5-ium"
63,CN1CCCN2C1=[NH+]CCC2,84030-20-6,"1-methyl-2,3,4,6,7,8-hexahydropyrimido[1,2-a]pyrimidine",T,CN1CCC[NH+]2C1=NCCC2,-,"1-methyl-3,4,5,6,7,8-hexahydro-2H-pyrimido[1,2-a]pyrimidin-5-ium"
64,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)[NH+],102-06-7,"1,2-diphenylguanidine",T,C1=CC=C(C=C1)NC(=[NH+]C2=CC=CC=C2)N,-,[amino(anilino)methylidene]-phenylazanium
65,CN(C)P(=N)(N(C)C)[NH+](C)C,49778-01-0,N-[bis(dimethylamino)phosphinimyl]-N-methylmethanamine,T,CN(C)[P+](N)(N(C)C)N(C)C,-,amino-tris(dimethylamino)phosphanium
66,CC(C)(C)N=P(N(C)C)(N(C)C)[NH+](C)C,81675-81-2,N-[tert-butylimino-bis(dimethylamino)-λ5-phosphanyl]-N-methylmethanamine,T,CC(C)(C)N[P+](N(C)C)(N(C)C)N(C)C,-,(tert-butylamino)-tris(dimethylamino)phosphanium
67,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)[NH+]3CCCC3,161118-67-8,tert-butylimino(tripyrrolidin-1-yl)-Œª5-phosphane,T,CC(C)(C)N[P+](N1CCCC1)(N2CCCC2)N3CCCC3,-,(tert-butylamino)-tripyrrolidin-1-ylphosphanium
68,CN(C)P(=NC1=CC=CC=C1)(N(C)C)[NH+](C)C,35589-04-9,N-[bis(dimethylamino)-phenylimino-Œª5-phosphanyl]-N-methylmethanamine,T,CN(C)[P+](NC1=CC=CC=C1)(N(C)C)N(C)C,-,anilino-tris(dimethylamino)phosphanium
69,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)[NH+](C)C,165535-45-5,N-[dimethylamino-ethylimino-[[tris(dimethylamino)-Œª5-phosphanylidene]amino]-Œª5-phosphanyl]-N-methylmethanamine,T,CCNP(=N[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,-,[[bis(dimethylamino)-(ethylamino)-_5-phosphanylidene]amino]-tris(dimethylamino)phosphanium
70,CC(C)(C)N=P(N=P(N(C)C)(N(C)C)N(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N=P(N(C)C)(N(C)C)[NH+](C)C,111324-04-0,N-[[tert-butylimino-bis[[tris(dimethylamino)-Œª5-phosphanylidene]amino]-Œª5-phosphanyl]imino-bis(dimethylamino)-Œª5-phosphanyl]-N-methylmethanamine,T,CC(C)(C)N[P+](N=P(N(C)C)(N(C)C)N(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N=P(N(C)C)(N(C)C)N(C)C,-,(tert-butylamino)-tris[[tris(dimethylamino)-_5-phosphanylidene]amino]phosphanium